Name,Northing,Easting,Elevation,Type,Interval,Length,Bulge,Status
61b02f__1_start,3522643.0796,1523565.7155,0,2,0,0,0,
61b02f__2_stop,3522645.9426,1523562.9841,0,3,0,0,0,
61b02f__2_start,3522645.9426,1523562.9841,0,2,0,0,0,
61b02f__3_stop,3522647.5163,1523561.353,0,3,0,0,0,
61b02f__3_start,3522647.5163,1523561.353,0,2,0,0,0,
61b02f__4_stop,3522648.9348,1523559.6295,0,3,0,0,0,
61b02f__4_start,3522648.9348,1523559.6295,0,2,0,0,0,
61b02f__5_stop,3522650.2147,1523557.7978,0,3,0,0,0,
61b02f__5_start,3522650.2147,1523557.7978,0,2,0,0,0,
61b02f__6_stop,3522651.3509,1523555.8724,0,3,0,0,0,
61b02f__6_start,3522651.3509,1523555.8724,0,2,0,0,0,
61b02f__7_stop,3522652.3291,1523553.8669,0,3,0,0,0,
61b02f__7_start,3522652.3291,1523553.8669,0,2,0,0,0,
61b02f__8_stop,3522653.1507,1523551.7845,0,3,0,0,0,
61b02f__8_start,3522653.1507,1523551.7845,0,2,0,0,0,
61b02f__9_stop,3522653.8071,1523549.6475,0,3,0,0,0,
61b02f__9_start,3522653.8071,1523549.6475,0,2,0,0,0,
61b02f__10_stop,3522654.2924,1523547.4626,0,3,0,0,0,
61b02f__10_start,3522654.2924,1523547.4626,0,2,0,0,0,
61b02f__11_stop,3522654.6093,1523545.2463,0,3,0,0,0,
61b02f__11_start,3522654.6093,1523545.2463,0,2,0,0,0,
61b02f__12_stop,3522654.7507,1523543.0139,0,3,0,0,0,
61b02f__12_start,3522654.7507,1523543.0139,0,2,0,0,0,
61b02f__13_stop,3522654.7166,1523540.7793,0,3,0,0,0,
61b02f__13_start,3522654.7166,1523540.7793,0,2,0,0,0,
61b02f__14_stop,3522654.5066,1523538.5497,0,3,0,0,0,
61b02f__14_start,3522654.5066,1523538.5497,0,2,0,0,0,
61b02f__15_stop,3522654.1278,1523536.3451,0,3,0,0,0,
61b02f__15_start,3522654.1278,1523536.3451,0,2,0,0,0,
61b02f__16_stop,3522653.573,1523534.1764,0,3,0,0,0,
61b02f__16_start,3522653.573,1523534.1764,0,2,0,0,0,
61b02f__17_stop,3522652.8553,1523532.0588,0,3,0,0,0,
61b02f__17_start,3522652.8553,1523532.0588,0,2,0,0,0,
61b02f__18_stop,3522651.9722,1523530.0042,0,3,0,0,0,
61b02f__18_start,3522651.9722,1523530.0042,0,2,0,0,0,
61b02f__19_stop,3522650.9331,1523528.0268,0,3,0,0,0,
61b02f__19_start,3522650.9331,1523528.0268,0,2,0,0,0,
61b02f__20_stop,3522649.7414,1523526.1365,0,3,0,0,0,
61b02f__20_start,3522649.7414,1523526.1365,0,2,0,0,0,
61b02f__21_stop,3522648.4076,1523524.3465,0,3,0,0,0,
61b02f__21_start,3522648.4076,1523524.3465,0,2,0,0,0,
61b02f__22_stop,3522646.9147,1523522.6425,0,3,0,0,0,
61b02f__22_start,3522646.9147,1523522.6425,0,2,0,0,0,
61b02f__23_stop,3522497.0406,1523365.3965,0,3,0,0,0,
61b02f__23_start,3522497.0406,1523365.3965,0,2,0,0,0,
61b02f__24_stop,3522495.1253,1523363.5272,0,3,0,0,0,
61b02f__24_start,3522495.1253,1523363.5272,0,2,0,0,0,
61b02f__25_stop,3522493.0986,1523361.8423,0,3,0,0,0,
61b02f__25_start,3522493.0986,1523361.8423,0,2,0,0,0,
61b02f__26_stop,3522490.9478,1523360.3193,0,3,0,0,0,
61b02f__26_start,3522490.9478,1523360.3193,0,2,0,0,0,
61b02f__27_stop,3522488.6851,1523358.9724,0,3,0,0,0,
61b02f__27_start,3522488.6851,1523358.9724,0,2,0,0,0,
61b02f__28_stop,3522486.3255,1523357.81,0,3,0,0,0,
61b02f__28_start,3522486.3255,1523357.81,0,2,0,0,0,
61b02f__29_stop,3522483.8835,1523356.836,0,3,0,0,0,
61b02f__29_start,3522483.8835,1523356.836,0,2,0,0,0,
61b02f__30_stop,3522481.3703,1523356.057,0,3,0,0,0,
61b02f__30_start,3522481.3703,1523356.057,0,2,0,0,0,
61b02f__31_stop,3522478.8063,1523355.4797,0,3,0,0,0,
61b02f__31_start,3522478.8063,1523355.4797,0,2,0,0,0,
61b02f__32_stop,3522476.2044,1523355.1071,0,3,0,0,0,
61b02f__32_start,3522476.2044,1523355.1071,0,2,0,0,0,
61b02f__33_stop,3522473.5829,1523354.9397,0,3,0,0,0,
61b02f__33_start,3522473.5829,1523354.9397,0,2,0,0,0,
61b02f__34_stop,3522470.955,1523354.9807,0,3,0,0,0,
61b02f__34_start,3522470.955,1523354.9807,0,2,0,0,0,
61b02f__35_stop,3522468.338,1523355.2274,0,3,0,0,0,
61b02f__35_start,3522468.338,1523355.2274,0,2,0,0,0,
61b02f__36_stop,3522465.7479,1523355.6794,0,3,0,0,0,
61b02f__36_start,3522465.7479,1523355.6794,0,2,0,0,0,
61b02f__37_stop,3522463.203,1523356.3376,0,3,0,0,0,
61b02f__37_start,3522463.203,1523356.3376,0,2,0,0,0,
61b02f__38_stop,3522460.7136,1523357.1925,0,3,0,0,0,
61b02f__38_start,3522460.7136,1523357.1925,0,2,0,0,0,
61b02f__39_stop,3522458.3027,1523358.2406,0,3,0,0,0,
61b02f__39_start,3522458.3027,1523358.2406,0,2,0,0,0,
61b02f__40_stop,3522455.9795,1523359.4762,0,3,0,0,0,
61b02f__40_start,3522455.9795,1523359.4762,0,2,0,0,0,
61b02f__41_stop,3522453.7572,1523360.8934,0,3,0,0,0,
61b02f__41_start,3522453.7572,1523360.8934,0,2,0,0,0,
61b02f__42_stop,3522451.6516,1523362.4785,0,3,0,0,0,
61b02f__42_start,3522451.6516,1523362.4785,0,2,0,0,0,
61b02f__43_stop,3522449.6491,1523364.2529,0,3,0,0,0,
61b02f__43_start,3522449.6491,1523364.2529,0,2,0,0,0,
61b02f__44_stop,3522396.1862,1523415.1795,0,3,0,0,0,
61b02f__44_start,3522396.1862,1523415.1795,0,2,0,0,0,
61b02f__45_stop,3522396.1485,1523415.2202,0,3,0,0,0,
61b02f__45_start,3522396.1485,1523415.2202,0,2,0,0,0,
61b02f__46_stop,3522396.0663,1523415.2943,0,3,0,0,0,
61b02f__46_start,3522396.0663,1523415.2943,0,2,0,0,0,
61b02f__47_stop,3522396.0514,1523415.3077,0,3,0,0,0,
61b02f__47_start,3522396.0514,1523415.3077,0,2,0,0,0,
61b02f__48_stop,3522396.0365,1523415.3211,0,3,0,0,0,
61b02f__48_start,3522396.0365,1523415.3211,0,2,0,0,0,
61b02f__49_stop,3522395.9402,1523415.4078,0,3,0,0,0,
61b02f__49_start,3522395.9402,1523415.4078,0,2,0,0,0,
61b02f__50_stop,3522395.892,1523415.4425,0,3,0,0,0,
61b02f__50_start,3522395.892,1523415.4425,0,2,0,0,0,
61b02f__51_stop,3522322.0766,1523476.8053,0,3,0,0,0,
61b02f__51_start,3522322.0766,1523476.8053,0,2,0,0,0,
61b02f__52_stop,3522085.115,1523702.5467,0,3,0,0,0,
61b02f__52_start,3522085.115,1523702.5467,0,2,0,0,0,
61b02f__53_stop,3521678.9492,1524089.4744,0,3,0,0,0,
61b02f__53_start,3521678.9492,1524089.4744,0,2,0,0,0,
61b02f__54_stop,3521678.9628,1524089.48,0,3,0,0,0,
61b02f__54_start,3521678.9628,1524089.48,0,2,0,0,0,
61b02f__55_stop,3521673.1744,1524094.9464,0,3,0,0,0,
61b02f__55_start,3521673.1744,1524094.9464,0,2,0,0,0,
61b02f__56_stop,3521669.6026,1524098.2644,0,3,0,0,0,
61b02f__56_start,3521669.6026,1524098.2644,0,2,0,0,0,
61b02f__57_stop,3521665.9979,1524101.5546,0,3,0,0,0,
61b02f__57_start,3521665.9979,1524101.5546,0,2,0,0,0,
61b02f__58_stop,3521662.3714,1524104.8105,0,3,0,0,0,
61b02f__58_start,3521662.3714,1524104.8105,0,2,0,0,0,
61b02f__59_stop,3521658.712,1524108.0386,0,3,0,0,0,
61b02f__59_start,3521658.712,1524108.0386,0,2,0,0,0,
61b02f__60_stop,3521655.0305,1524111.2327,0,3,0,0,0,
61b02f__60_start,3521655.0305,1524111.2327,0,2,0,0,0,
