Name,Northing,Easting,Elevation,Type,Interval,Length,Bulge,Status
f2f3c9__1_start,6748850.0531,955033.6731,0,2,0,0.0,0,
f2f3c9__1_stop,6748846.4852,955019.3943500001,0,3,0,0.0,0.0,
f2f3c9__2_start,6748846.4852,955019.3943500001,0,2,1,0.5,0,
f2f3c9__2_stop,6748842.4417,955020.3426,0,3,1,0.5,0.0,
f2f3c9__3_start_bulge,6748842.4417,955020.3426,0,2,0,0.0,0.3680063233135551,
f2f3c9__3_stop,6748831.0812,955035.78,0,3,0,0.0,0.0,
f2f3c9__4_start,6748831.0812,955035.78,0,2,1,0.5,0,
f2f3c9__4_stop,6748831.2088,955036.9292,0,3,1,0.5,0.0,
f2f3c9__5_start,6748831.2088,955036.9292,0,2,0,0.0,0,
f2f3c9__5_stop,6748831.4376,955038.1243,0,3,0,0.0,0.0,
f2f3c9__6_start,6748831.4376,955038.1243,0,2,1,0.5,0,
f2f3c9__6_stop,6748841.7178,955081.7973,0,3,1,0.5,0.0,
f2f3c9__7_start_bulge,6748841.7178,955081.7973,0,2,0,0.0,0.3691321474469427,
f2f3c9__7_stop,6748864.4786,955098.5517,0,3,0,0.0,0.0,
f2f3c9__8_start,6748864.4786,955098.5517,0,2,1,0.5,0,
f2f3c9__8_stop,6748866.1677,955098.3545,0,3,1,0.5,0.0,
f2f3c9__9_start,6748866.1677,955098.3545,0,2,0,0.0,0,
f2f3c9__9_stop,6748867.9056,955098.0112,0,3,0,0.0,0.0,
f2f3c9__10_start,6748867.9056,955098.0112,0,2,1,0.5,0,
f2f3c9__10_stop,6748898.182225,955090.666425,0,3,1,0.5,0.0,
f2f3c9__11_start,6748898.182225,955090.666425,0,2,0,0.0,0,
f2f3c9__11_stop,6748893.6545,955071.4079,0,3,0,0.0,0.0,
f2f3c9__12_start,6748893.6545,955071.4079,0,2,1,0.5,0,
f2f3c9__12_stop,6749065.5226,955030.9598,0,3,1,0.5,0.0,
f2f3c9__13_start,6749065.5226,955030.9598,0,2,0,0.0,0,
f2f3c9__13_stop,6749087.7735,955025.6985,0,3,0,0.0,0.0,
f2f3c9__14_start,6749087.7735,955025.6985,0,2,1,0.5,0,
f2f3c9__14_stop,6749087.4416,955023.9653,0,3,1,0.5,0.0,
f2f3c9__15_start,6749087.4416,955023.9653,0,2,0,0.0,0,
f2f3c9__15_stop,6749076.8485,954978.9504,0,3,0,0.0,0.0,
f2f3c9__16_start_bulge,6749076.8485,954978.9504,0,2,1,0.5,0.08807678579807143,
f2f3c9__16_stop,6749074.5072,954973.5324,0,3,1,0.5,0.0,
f2f3c9__17_start,6749074.5072,954973.5324,0,2,0,0.0,0,
f2f3c9__17_stop,6749074.3284,954973.2665,0,3,0,0.0,0.0,
f2f3c9__18_start,6749074.3284,954973.2665,0,2,1,0.5,0,
f2f3c9__18_stop,6749074.1318,954972.9891,0,3,1,0.5,0.0,
f2f3c9__19_start,6749074.1318,954972.9891,0,2,0,0.0,0,
f2f3c9__19_stop,6749043.584,954930.5414,0,3,0,0.0,0.0,
f2f3c9__20_start_bulge,6749043.584,954930.5414,0,2,1,0.5,-0.08833252779877486,
f2f3c9__20_stop,6749038.1806,954919.2905,0,3,1,0.5,0.0,
f2f3c9__21_start_bulge,6749038.1806,954919.2905,0,2,0,0.0,-0.05814479124396551,
f2f3c9__21_stop,6749037.9996,954918.603,0,3,0,0.0,0.0,
f2f3c9__22_start,6749037.9996,954918.603,0,2,1,0.5,0,
f2f3c9__22_stop,6749037.8458,954917.9837,0,3,1,0.5,0.0,
f2f3c9__23_start,6749037.8458,954917.9837,0,2,0,0.0,0,
f2f3c9__23_stop,6749025.6207,954866.0359,0,3,0,0.0,0.0,
f2f3c9__24_start_bulge,6749025.6207,954866.0359,0,2,1,0.5,-0.08751260859109657,
f2f3c9__24_stop,6749024.9638,954853.7231,0,3,1,0.5,0.0,
f2f3c9__25_start,6749024.9638,954853.7231,0,2,0,0.0,0,
f2f3c9__25_stop,6749025.0504,954853.0595,0,3,0,0.0,0.0,
f2f3c9__26_start,6749025.0504,954853.0595,0,2,1,0.5,0,
f2f3c9__26_stop,6749025.1554,954852.38,0,3,1,0.5,0.0,
f2f3c9__27_start,6749025.1554,954852.38,0,2,0,0.0,0,
f2f3c9__27_stop,6749033.5794,954800.6797,0,3,0,0.0,0.0,
f2f3c9__28_start_bulge,6749033.5794,954800.6797,0,2,1,0.5,0.08743351759734717,
f2f3c9__28_stop,6749033.4926,954794.7741,0,3,1,0.5,0.0,
f2f3c9__29_start,6749033.4926,954794.7741,0,2,0,0.0,0,
f2f3c9__29_stop,6749033.4291,954794.4661,0,3,0,0.0,0.0,
f2f3c9__30_start,6749033.4291,954794.4661,0,2,1,0.5,0,
f2f3c9__30_stop,6749033.3528,954794.127,0,3,1,0.5,0.0,
f2f3c9__31_start,6749033.3528,954794.127,0,2,0,0.0,0,
f2f3c9__31_stop,6749025.2481,954759.6848,0,3,0,0.0,0.0,
f2f3c9__32_start_bulge,6749025.2481,954759.6848,0,2,1,0.5,-0.3508105123249181,
f2f3c9__32_stop,6749054.1096,954699.4908,0,3,1,0.5,0.0,
f2f3c9__33_start,6749054.1096,954699.4908,0,2,0,0.0,0,
f2f3c9__33_stop,6749057.7798,954697.8982,0,3,0,0.0,0.0,
f2f3c9__34_start,6749057.7798,954697.8982,0,2,1,0.5,0,
f2f3c9__34_stop,6749057.1474,954676.9676,0,3,1,0.5,0.0,
f2f3c9__35_start,6749057.1474,954676.9676,0,2,0,0.0,0,
f2f3c9__35_stop,6749170.6077,954650.2654,0,3,0,0.0,0.0,
f2f3c9__36_start,6749170.6077,954650.2654,0,2,1,0.5,0,
f2f3c9__36_stop,6749175.1907,954669.7342,0,3,1,0.5,0.0,
f2f3c9__37_start,6749175.1907,954669.7342,0,2,0,0.0,0,
f2f3c9__37_stop,6749181.6708,954668.2081,0,3,0,0.0,0.0,
f2f3c9__38_start_bulge,6749181.6708,954668.2081,0,2,1,0.5,0.3693730277504941,
f2f3c9__38_stop,6749193.0284,954652.7751,0,3,1,0.5,0.0,
f2f3c9__39_start_bulge,6749193.0284,954652.7751,0,2,0,0.0,0.03926874785519197,
f2f3c9__39_stop,6749192.6723,954650.4306,0,3,0,0.0,0.0,
f2f3c9__40_start,6749192.6723,954650.4306,0,2,1,0.5,0,
f2f3c9__40_stop,6749173.1682,954654.8635,0,3,1,0.5,0.0,
f2f3c9__41_start,6749173.1682,954654.8635,0,2,0,0.0,0,
f2f3c9__41_stop,6749107.5235,954375.9218,0,3,0,0.0,0.0,
f2f3c9__42_start,6749107.5235,954375.9218,0,2,1,0.5,0,
f2f3c9__42_stop,6749126.9941,954371.3403,0,3,1,0.5,0.0,
f2f3c9__43_start_bulge,6749126.9941,954371.3403,0,2,0,0.0,-0.39475397446796345,
f2f3c9__43_stop,6749157.7849,954315.9494,0,3,0,0.0,0.0,
f2f3c9__44_start,6749157.7849,954315.9494,0,2,1,0.5,0,
f2f3c9__44_stop,6749161.2178,954315.0017,0,3,1,0.5,0.0,
f2f3c9__45_start,6749161.2178,954315.0017,0,2,0,0.0,0,
f2f3c9__45_stop,6749171.4968,954312.5812,0,3,0,0.0,0.0,
f2f3c9__46_start_bulge,6749171.4968,954312.5812,0,2,1,0.5,0.41437813360182674,
f2f3c9__46_stop,6749189.9279,954287.6748,0,3,1,0.5,0.0,
f2f3c9__47_start,6749189.9279,954287.6748,0,2,0,0.0,0,
f2f3c9__47_stop,6749189.596,954285.9383,0,3,0,0.0,0.0,
f2f3c9__48_start,6749189.596,954285.9383,0,2,1,0.5,0,
f2f3c9__48_stop,6749124.7971,954010.5981,0,3,1,0.5,0.0,
f2f3c9__49_start_bulge,6749124.7971,954010.5981,0,2,0,0.0,0.3689791407529615,
f2f3c9__49_stop,6749091.5616,953986.1533,0,3,0,0.0,0.0,
f2f3c9__50_start,6749091.5616,953986.1533,0,2,1,0.5,0,
f2f3c9__50_stop,6749089.0897,953986.4409,0,3,1,0.5,0.0,
f2f3c9__51_start,6749089.0897,953986.4409,0,2,0,0.0,0,
f2f3c9__51_stop,6749086.5834,953986.9365,0,3,0,0.0,0.0,
f2f3c9__52_start,6749086.5834,953986.9365,0,2,1,0.5,0,
f2f3c9__52_stop,6748763.3223,954063.0114,0,3,1,0.5,0.0,
f2f3c9__53_start_bulge,6748763.3223,954063.0114,0,2,0,0.0,0.029598111020025904,
f2f3c9__53_stop,6748653.9263,954095.6769,0,3,0,0.0,0.0,
f2f3c9__54_start,6748653.9263,954095.6769,0,2,1,0.5,0,
f2f3c9__54_stop,6748647.9701,954097.8708,0,3,1,0.5,0.0,
f2f3c9__55_start,6748647.9701,954097.8708,0,2,0,0.0,0,
f2f3c9__55_stop,6748642.0219,954100.1043,0,3,0,0.0,0.0,
f2f3c9__56_start,6748642.0219,954100.1043,0,2,1,0.5,0,
f2f3c9__56_stop,6748449.9954,954172.9142,0,3,1,0.5,0.0,
f2f3c9__57_start_bulge,6748449.9954,954172.9142,0,2,0,0.0,0.36739464323929855,
f2f3c9__57_stop,6748436.388,954197.6817,0,3,0,0.0,0.0,
f2f3c9__58_start,6748436.388,954197.6817,0,2,1,0.5,0,
f2f3c9__58_stop,6748436.7945,954199.334,0,3,1,0.5,0.0,
f2f3c9__59_start,6748436.7945,954199.334,0,2,0,0.0,0,
f2f3c9__59_stop,6748437.3507,954201.0103,0,3,0,0.0,0.0,
f2f3c9__60_start,6748437.3507,954201.0103,0,2,1,0.5,0,
f2f3c9__60_stop,6748449.8072,954233.8599,0,3,1,0.5,0.0,
f2f3c9__61_start_bulge,6748449.8072,954233.8599,0,2,0,0.0,0.09206977493267332,
f2f3c9__61_stop,6748503.8658,954322.7426,0,3,0,0.0,0.0,
f2f3c9__62_start,6748503.8658,954322.7426,0,2,1,0.5,0,
f2f3c9__62_stop,6748507.7836,954327.0285,0,3,1,0.5,0.0,
f2f3c9__63_start,6748507.7836,954327.0285,0,2,0,0.0,0,
f2f3c9__63_stop,6748512.090966667,954331.2343666666,0,3,0,0.0,0.0,
f2f3c9__64_start,6748512.090966667,954331.2343666666,0,2,1,0.5,0,
f2f3c9__64_stop,6748526.1107,954317.2675,0,3,1,0.5,0.0,
f2f3c9__65_start_bulge,6748526.1107,954317.2675,0,2,0,0.0,-0.07140044993303102,
f2f3c9__65_stop,6748618.3844,954439.668,0,3,0,0.0,0.0,
f2f3c9__66_start,6748618.3844,954439.668,0,2,1,0.5,0,
f2f3c9__66_stop,6748622.3648,954447.0416,0,3,1,0.5,0.0,
f2f3c9__67_start,6748622.3648,954447.0416,0,2,0,0.0,0,
f2f3c9__67_stop,6748627.7391,954457.3716,0,3,0,0.0,0.0,
f2f3c9__68_start,6748627.7391,954457.3716,0,2,1,0.5,0,
f2f3c9__68_stop,6748609.9796,954466.6792,0,3,1,0.5,0.0,
f2f3c9__69_start,6748609.9796,954466.6792,0,2,0,0.0,0,
f2f3c9__69_stop,6748620.184799999,954487.7475333334,0,3,0,0.0,0.0,
f2f3c9__70_start,6748620.184799999,954487.7475333334,0,2,1,0.5,0,
f2f3c9__70_stop,6748638.3494,954479.7906,0,3,1,0.5,0.0,
f2f3c9__71_start_bulge,6748638.3494,954479.7906,0,2,0,0.0,-0.06659857956271593,
f2f3c9__71_stop,6748678.6388,954617.652,0,3,0,0.0,0.0,
