Name,Northing,Easting,Elevation,Type,Interval,Length,Bulge,Status
6445ed__1_start_bulge,6749184.1049,953963.9835,0,2,0,0,0.36800540082186634,
6445ed__1_stop,6749159.6324,953997.2367,0,3,0,0,0.0,
6445ed__2_start,6749159.6324,953997.2367,0,2,0,0,0,
6445ed__2_stop,6749159.9081,953999.7162,0,3,0,0,0.0,
6445ed__3_start,6749159.9081,953999.7162,0,2,0,0,0,
6445ed__3_stop,6749160.3873,954002.2234,0,3,0,0,0.0,
6445ed__4_start,6749160.3873,954002.2234,0,2,0,0,0,
6445ed__4_stop,6749225.1863,954277.5674,0,3,0,0,0.0,
6445ed__5_start_bulge,6749225.1863,954277.5674,0,2,0,0,0.4169168013235699,
6445ed__5_stop,6749251.3724,954293.7851,0,3,0,0,0.0,
6445ed__6_start,6749251.3724,954293.7851,0,2,0,0,0,
6445ed__6_stop,6749253.2944,954293.3315,0,3,0,0,0.0,
6445ed__7_start_bulge,6749253.2944,954293.3315,0,2,0,0,-0.4000586863134673,
6445ed__7_stop,6749317.6744,954328.6118,0,3,0,0,0.0,
6445ed__8_start,6749317.6744,954328.6118,0,2,0,0,0,
6445ed__8_stop,6749318.7789,954332.5908,0,3,0,0,0.0,
6445ed__9_start,6749318.7789,954332.5908,0,2,0,0,0,
6445ed__9_stop,6749331.4928,954385.4003,0,3,0,0,0.0,
6445ed__10_start,6749331.4928,954385.4003,0,2,0,0,0,
6445ed__10_stop,6749348.742,954381.3396,0,3,0,0,0.0,
6445ed__11_start,6749348.742,954381.3396,0,2,0,0,0,
6445ed__11_stop,6749436.8354,954755.6742,0,3,0,0,0.0,
6445ed__12_start,6749436.8354,954755.6742,0,2,0,0,0,
6445ed__12_stop,6749429.0192,954757.8249,0,3,0,0,0.0,
6445ed__13_start,6749429.0192,954757.8249,0,2,0,0,0,
6445ed__13_stop,6749432.1251,954771.0216,0,3,0,0,0.0,
6445ed__14_start_bulge,6749432.1251,954771.0216,0,2,0,0,-0.1674702373068018,
6445ed__14_stop,6749431.6861,954775.4199,0,3,0,0,0.0,
6445ed__15_start,6749431.6861,954775.4199,0,2,0,0,0,
6445ed__15_stop,6749431.5002,954775.8085,0,3,0,0,0.0,
6445ed__16_start,6749431.5002,954775.8085,0,2,0,0,0,
6445ed__16_stop,6749425.4325,954785.793,0,3,0,0,0.0,
6445ed__17_start,6749425.4325,954785.793,0,2,0,0,0,
6445ed__17_stop,6749428.3899,954798.3662,0,3,0,0,0.0,
6445ed__18_start_bulge,6749428.3899,954798.3662,0,2,0,0,0.4164233841620695,
6445ed__18_stop,6749466.6059,954822.026,0,3,0,0,0.0,
6445ed__19_start,6749466.6059,954822.026,0,2,0,0,0,
6445ed__19_stop,6749468.1519,954821.3564,0,3,0,0,0.0,
6445ed__20_start,6749468.1519,954821.3564,0,2,0,0,0,
6445ed__20_stop,6749463.6394,954802.1808,0,3,0,0,0.0,
6445ed__21_start,6749463.6394,954802.1808,0,2,0,0,0,
6445ed__21_stop,6749674.4415,954752.5714,0,3,0,0,0.0,
6445ed__22_start,6749674.4415,954752.5714,0,2,0,0,0,
6445ed__22_stop,6749679.2953,954771.9761,0,3,0,0,0.0,
6445ed__23_start,6749679.2953,954771.9761,0,2,0,0,0,
6445ed__23_stop,6749707.6101,954765.0027,0,3,0,0,0.0,
6445ed__24_start,6749707.6101,954765.0027,0,2,0,0,0,
6445ed__24_stop,6749703.0976,954745.8272,0,3,0,0,0.0,
6445ed__25_start,6749703.0976,954745.8272,0,2,0,0,0,
6445ed__25_stop,6749743.8813,954736.2294,0,3,0,0,0.0,
6445ed__26_start,6749743.8813,954736.2294,0,2,0,0,0,
6445ed__26_stop,6749962.5727,954684.7638,0,3,0,0,0.0,
6445ed__27_start,6749962.5727,954684.7638,0,2,0,0,0,
6445ed__27_stop,6749967.421,954704.1687,0,3,0,0,0.0,
6445ed__28_start_bulge,6749967.421,954704.1687,0,2,0,0,-0.4050485790702291,
6445ed__28_stop,6750002.2397,954722.7427,0,3,0,0,0.0,
6445ed__29_start,6750002.2397,954722.7427,0,2,0,0,0,
6445ed__29_stop,6750002.8166,954724.8189,0,3,0,0,0.0,
6445ed__30_start,6750002.8166,954724.8189,0,2,0,0,0,
6445ed__30_stop,6750003.7279,954727.4714,0,3,0,0,0.0,
6445ed__31_start,6750003.7279,954727.4714,0,2,0,0,0,
6445ed__31_stop,6750022.924,954722.9546,0,3,0,0,0.0,
6445ed__32_start,6750022.924,954722.9546,0,2,0,0,0,
6445ed__32_stop,6750093.1511,955021.3648,0,3,0,0,0.0,
6445ed__33_start,6750093.1511,955021.3648,0,2,0,0,0,
6445ed__33_stop,6750073.7465,955026.22,0,3,0,0,0.0,
6445ed__34_start_bulge,6750073.7465,955026.22,0,2,0,0,0.2071221953394098,
6445ed__34_stop,6750094.1127,955058.3105,0,3,0,0,0.0,
6445ed__35_start_bulge,6750094.1127,955058.3105,0,2,0,0,-0.1967549773330653,
6445ed__35_stop,6750119.0682,955090.5152,0,3,0,0,0.0,
6445ed__36_start,6750119.0682,955090.5152,0,2,0,0,0,
6445ed__36_stop,6750119.5744,955092.4925,0,3,0,0,0.0,
6445ed__37_start,6750119.5744,955092.4925,0,2,0,0,0,
6445ed__37_stop,6750175.4265,955331.5725,0,3,0,0,0.0,
6445ed__38_start,6750175.4265,955331.5725,0,2,0,0,0,
6445ed__38_stop,6750198.2483,955429.2636,0,3,0,0,0.0,
6445ed__39_start_bulge,6750198.2483,955429.2636,0,2,0,0,0.5849838904319737,
6445ed__39_stop,6750206.0815,955431.7259,0,3,0,0,0.0,
6445ed__40_start_bulge,6750206.0815,955431.7259,0,2,0,0,0.050136000771853574,
6445ed__40_stop,6750211.6971,955425.492,0,3,0,0,0.0,
6445ed__41_start,6750211.6971,955425.492,0,2,0,0,0,
6445ed__41_stop,6750211.9702,955425.1128,0,3,0,0,0.0,
6445ed__42_start_bulge,6750211.9702,955425.1128,0,2,0,0,0.20441213487212723,
6445ed__42_stop,6750219.0195,955392.9785,0,3,0,0,0.0,
6445ed__43_start,6750219.0195,955392.9785,0,2,0,0,0,
6445ed__43_stop,6748850.0531,955033.6731,0,3,0,0,0.0,
e451dd__44_start,6748850.0531,955033.6731,0,2,0,0,0,
e451dd__44_stop,6748846.4104,955019.4081,0,3,0,0,0.0,
e451dd__45_start,6748846.4104,955019.4081,0,2,0,0,0,
e451dd__45_stop,6748842.4417,955020.3426,0,3,0,0,0.0,
e451dd__46_start_bulge,6748842.4417,955020.3426,0,2,0,0,0.3680063233135551,
e451dd__46_stop,6748831.0812,955035.78,0,3,0,0,0.0,
e451dd__47_start,6748831.0812,955035.78,0,2,0,0,0,
e451dd__47_stop,6748831.2088,955036.9292,0,3,0,0,0.0,
e451dd__48_start,6748831.2088,955036.9292,0,2,0,0,0,
e451dd__48_stop,6748831.4376,955038.1243,0,3,0,0,0.0,
e451dd__49_start,6748831.4376,955038.1243,0,2,0,0,0,
e451dd__49_stop,6748841.7178,955081.7973,0,3,0,0,0.0,
e451dd__50_start_bulge,6748841.7178,955081.7973,0,2,0,0,0.3691321474469427,
e451dd__50_stop,6748864.4786,955098.5517,0,3,0,0,0.0,
e451dd__51_start,6748864.4786,955098.5517,0,2,0,0,0,
e451dd__51_stop,6748866.1677,955098.3545,0,3,0,0,0.0,
e451dd__52_start,6748866.1677,955098.3545,0,2,0,0,0,
e451dd__52_stop,6748867.9056,955098.0112,0,3,0,0,0.0,
e451dd__53_start,6748867.9056,955098.0112,0,2,0,0,0,
e451dd__53_stop,6748898.172,955090.6043,0,3,0,0,0.0,
e451dd__54_start,6748898.172,955090.6043,0,2,0,0,0,
e451dd__54_stop,6748893.6545,955071.4079,0,3,0,0,0.0,
e451dd__55_start,6748893.6545,955071.4079,0,2,0,0,0,
e451dd__55_stop,6749065.5226,955030.9598,0,3,0,0,0.0,
e451dd__56_start,6749065.5226,955030.9598,0,2,0,0,0,
e451dd__56_stop,6749070.3749,955050.3651,0,3,0,0,0.0,
e451dd__57_start_bulge,6749070.3749,955050.3651,0,2,0,0,0.4024194836033848,
e451dd__57_stop,6749087.7735,955025.6985,0,3,0,0,0.0,
e451dd__58_start,6749087.7735,955025.6985,0,2,0,0,0,
e451dd__58_stop,6749087.4416,955023.9653,0,3,0,0,0.0,
e451dd__59_start,6749087.4416,955023.9653,0,2,0,0,0,
e451dd__59_stop,6749076.8485,954978.9504,0,3,0,0,0.0,
e451dd__60_start_bulge,6749076.8485,954978.9504,0,2,0,0,0.08807678579807143,
e451dd__60_stop,6749074.5072,954973.5324,0,3,0,0,0.0,
e451dd__61_start,6749074.5072,954973.5324,0,2,0,0,0,
e451dd__61_stop,6749074.3284,954973.2665,0,3,0,0,0.0,
e451dd__62_start,6749074.3284,954973.2665,0,2,0,0,0,
e451dd__62_stop,6749074.1318,954972.9891,0,3,0,0,0.0,
e451dd__63_start,6749074.1318,954972.9891,0,2,0,0,0,
e451dd__63_stop,6749043.584,954930.5414,0,3,0,0,0.0,
