"Name","Northing","Easting","Elevation","Type","Interval","Length","Bulge"
"d8596e__1_start",40.79127075,-111.91525768,0,2,0,0,0
"d8596e__2_stop",40.79126789,-111.91525719,0,3,0,0,0
"d8596e__2_start",40.79126789,-111.91525719,0,2,0,0,0
"d8596e__3_stop",40.79126474,-111.91525703,0,3,0,0,0
"d8596e__3_start",40.79126474,-111.91525703,0,2,0,0,0
"d8596e__4_stop",40.7912616,-111.9152573,0,3,0,0,0
"d8596e__4_start",40.7912616,-111.9152573,0,2,0,0,0
"d8596e__5_stop",40.79125849,-111.91525794,0,3,0,0,0
"d8596e__5_start",40.79125849,-111.91525794,0,2,0,0,0
"d8596e__6_stop",40.79125544,-111.91525899,0,3,0,0,0
"d8596e__6_start",40.79125544,-111.91525899,0,2,0,0,0
"d8596e__7_stop",40.7912525,-111.9152604,0,3,0,0,0
"d8596e__7_start",40.7912525,-111.9152604,0,2,0,0,0
"d8596e__8_stop",40.79124965,-111.91526217,0,3,0,0,0
"d8596e__8_start",40.79124965,-111.91526217,0,2,0,0,0
"d8596e__9_stop",40.79124694,-111.91526431,0,3,0,0,0
"d8596e__9_start",40.79124694,-111.91526431,0,2,0,0,0
"d8596e__10_stop",40.79124441,-111.91526678,0,3,0,0,0
"d8596e__10_start",40.79124441,-111.91526678,0,2,0,0,0
"d8596e__11_stop",40.79124206,-111.91526956,0,3,0,0,0
"d8596e__11_start",40.79124206,-111.91526956,0,2,0,0,0
"d8596e__12_stop",40.79123995,-111.91527262,0,3,0,0,0
"d8596e__12_start",40.79123995,-111.91527262,0,2,0,0,0
"d8596e__13_stop",40.79123805,-111.91527591,0,3,0,0,0
"d8596e__13_start",40.79123805,-111.91527591,0,2,0,0,0
"d8596e__14_stop",40.79123639,-111.91527944,0,3,0,0,0
"d8596e__14_start",40.79123639,-111.91527944,0,2,0,0,0
"d8596e__15_stop",40.79123501,-111.91528318,0,3,0,0,0
"d8596e__15_start",40.79123501,-111.91528318,0,2,0,0,0
"d8596e__16_stop",40.79123389,-111.91528706,0,3,0,0,0
"d8596e__16_start",40.79123389,-111.91528706,0,2,0,0,0
"d8596e__17_stop",40.79123308,-111.91529106,0,3,0,0,0
"d8596e__17_start",40.79123308,-111.91529106,0,2,0,0,0
"d8596e__18_stop",40.79123254,-111.91529513,0,3,0,0,0
"d8596e__18_start",40.79123254,-111.91529513,0,2,0,0,0
"d8596e__19_stop",40.7912323,-111.91529928,0,3,0,0,0
"d8596e__19_start",40.7912323,-111.91529928,0,2,0,0,0
"d8596e__20_stop",40.79123231,-111.91529962,0,3,0,0,0
"d8596e__20_start",40.79123231,-111.91529962,0,2,0,0,0
"d8596e__21_stop",40.79123086,-111.91529948,0,3,0,0,0
"d8596e__21_start",40.79123086,-111.91529948,0,2,0,0,0
"d8596e__22_stop",40.79122875,-111.91529902,0,3,0,0,0
"d8596e__22_start",40.79122875,-111.91529902,0,2,0,0,0
"d8596e__23_stop",40.7912267,-111.91529828,0,3,0,0,0
"d8596e__23_start",40.7912267,-111.91529828,0,2,0,0,0
"d8596e__24_stop",40.79122471,-111.9152973,0,3,0,0,0
"d8596e__24_start",40.79122471,-111.9152973,0,2,0,0,0
"d8596e__25_stop",40.7912228,-111.91529604,0,3,0,0,0
"d8596e__25_start",40.7912228,-111.91529604,0,2,0,0,0
"d8596e__26_stop",40.79122099,-111.91529457,0,3,0,0,0
"d8596e__26_start",40.79122099,-111.91529457,0,2,0,0,0
"d8596e__27_stop",40.79121931,-111.91529286,0,3,0,0,0
"d8596e__27_start",40.79121931,-111.91529286,0,2,0,0,0
"d8596e__28_stop",40.79121774,-111.91529093,0,3,0,0,0
"d8596e__28_start",40.79121774,-111.91529093,0,2,0,0,0
"d8596e__29_stop",40.79121633,-111.91528882,0,3,0,0,0
"d8596e__29_start",40.79121633,-111.91528882,0,2,0,0,0
"d8596e__30_stop",40.79121508,-111.91528655,0,3,0,0,0
"d8596e__30_start",40.79121508,-111.91528655,0,2,0,0,0
"d8596e__31_stop",40.79121401,-111.91528413,0,3,0,0,0
"d8596e__31_start",40.79121401,-111.91528413,0,2,0,0,0
"d8596e__32_stop",40.79121312,-111.91528157,0,3,0,0,0
"d8596e__32_start",40.79121312,-111.91528157,0,2,0,0,0
"d8596e__33_stop",40.79121242,-111.91527889,0,3,0,0,0
"d8596e__33_start",40.79121242,-111.91527889,0,2,0,0,0
"d8596e__34_stop",40.79121192,-111.91527618,0,3,0,0,0
"d8596e__34_start",40.79121192,-111.91527618,0,2,0,0,0
"d8596e__35_stop",40.79121163,-111.91527337,0,3,0,0,0
"d8596e__35_start",40.79121163,-111.91527337,0,2,0,0,0
"d8596e__36_stop",40.79121153,-111.91527056,0,3,0,0,0
"d8596e__36_start",40.79121153,-111.91527056,0,2,0,0,0
"d8596e__37_stop",40.79121164,-111.91526775,0,3,0,0,0
"d8596e__37_start",40.79121164,-111.91526775,0,2,0,0,0
"d8596e__38_stop",40.79121294,-111.91525651,0,3,0,0,0
"d8596e__38_start",40.79121294,-111.91525651,0,2,0,0,0
"d8596e__39_stop",40.7910704,-111.91525181,0,3,0,0,0
